#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Symbol,Date_datetime
1828,Built In,Chicago,USA,North America,50.0,2022-10-05,25.0,200.0,150.0,Recruiting,Series C,$29,2022,41.85003,-87.65005,TBLT,2022-10-05
1820,Peloton,New York City,USA,North America,500.0,2022-10-06,12.0,4167.0,3667.0,Fitness,Post-IPO,$1900,2022,40.71427,-74.00597,PTON,2022-10-06
1817,BioMarin,San Francisco Bay Area,USA,North America,120.0,2022-10-07,4.0,3000.0,2880.0,Healthcare,Post-IPO,$585,2022,37.97353,-122.53109,BMRN,2022-10-07
1791,Beyond Meat,Los Angeles,USA,North America,200.0,2022-10-14,19.0,1053.0,853.0,Food,Post-IPO,$122,2022,34.05223,-118.24368,BYND,2022-10-14
1790,Beyond Meat,Los Angeles,USA,North America,200.0,2022-10-14,19.0,1053.0,853.0,Food,Post-IPO,$122,2022,34.05223,-118.24368,BYND,2022-10-14
1782,Leafly,Seattle,USA,North America,56.0,2022-10-18,21.0,267.0,211.0,Retail,Post-IPO,$71,2022,47.60621,-122.33207,LFLY,2022-10-18
1746,Zillow,Seattle,USA,North America,300.0,2022-10-26,5.0,6000.0,5700.0,Real Estate,Post-IPO,$97,2022,47.60621,-122.33207,Z,2022-10-26
1735,Amazon,Seattle,USA,North America,150.0,2022-10-28,0.04497975910840122,333483.0,333333.0,Retail,Post-IPO,$108,2022,47.60621,-122.33207,AMZN,2022-10-28
1719,Upstart,San Francisco Bay Area,USA,North America,140.0,2022-11-01,7.0,2000.0,1860.0,Finance,Post-IPO,$144,2022,37.56299,-122.32553,UPST,2022-11-01
1706,Opendoor,San Francisco Bay Area,USA,North America,550.0,2022-11-02,18.0,3056.0,2506.0,Real Estate,Post-IPO,,2022,37.77493,-122.41942,OPEN,2022-11-02
1694,Lyft,San Francisco Bay Area,USA,North America,700.0,2022-11-03,13.0,5385.0,4685.0,Transportation,Post-IPO,$4900,2022,37.77493,-122.41942,LYFT,2022-11-03
1654,Meta,San Francisco Bay Area,USA,North America,11000.0,2022-11-09,13.0,84615.0,73615.0,Consumer,Post-IPO,$26000,2022,37.45383,-122.18219,META,2022-11-09
1655,Redfin,Seattle,USA,North America,862.0,2022-11-09,13.0,6631.0,5769.0,Real Estate,Post-IPO,$320,2022,47.60621,-122.33207,RDFN,2022-11-09
1645,SoundHound,San Francisco Bay Area,USA,North America,45.0,2022-11-10,10.0,450.0,405.0,Other,Post-IPO,$326,2022,37.35411,-121.95524,SOUN,2022-11-10
1642,Blend,San Francisco Bay Area,USA,North America,100.0,2022-11-10,6.0,1667.0,1567.0,Finance,Post-IPO,$665,2022,37.77493,-122.41942,BLND,2022-11-10
1635,Veev,San Francisco Bay Area,USA,North America,100.0,2022-11-11,30.0,333.0,233.0,Construction,Series D,$597,2022,37.66882,-122.0808,VEEV,2022-11-11
